frame_index,timestamp_s,state,detection_count,selected_x_px,selected_y_px,estimate_x_px,estimate_y_px,truth_x_px,truth_y_px,centroid_error_px,tracking_error_px,pointing_offset_px,pan_rate_deg_s,tilt_rate_deg_s,processing_time_ms
0,0.0,search,0,,,,,,,,,,7.0,0.0,71.30018299903895
1,0.03333333333333333,search,0,,,,,,,,,,7.0,0.0,53.35578700032784
2,0.06666666666666667,search,0,,,,,,,,,,7.0,0.0,46.39009899983648
3,0.1,search,0,,,,,,,,,,7.0,0.0,31.12917599901266
4,0.13333333333333333,search,0,,,,,,,,,,7.0,0.0,33.699609000905184
5,0.16666666666666666,search,0,,,,,,,,,,7.0,0.0,37.1658780004509
6,0.2,search,0,,,,,,,,,,7.0,0.0,34.44624199983082
7,0.23333333333333334,search,0,,,,,,,,,,7.0,0.0,32.8073550008412
8,0.26666666666666666,search,0,,,,,,,,,,7.0,0.0,30.740116000743
9,0.3,search,0,,,,,,,,,,7.0,0.0,31.925426999805495
10,0.3333333333333333,search,0,,,,,,,,,,7.0,0.0,33.198933000676334
11,0.36666666666666664,search,0,,,,,,,,,,7.0,0.0,36.06806799871265
12,0.4,search,0,,,,,,,,,,7.0,0.0,36.804897001275094
13,0.43333333333333335,search,0,,,,,,,,,,7.0,0.0,33.56111900029646
14,0.4666666666666667,search,0,,,,,,,,,,7.0,0.0,35.62887599946407
15,0.5,search,0,,,,,,,,,,7.0,0.0,35.51823499947204
16,0.5333333333333333,search,0,,,,,,,,,,7.0,0.0,35.55370799949742
17,0.5666666666666667,search,0,,,,,,,,,,5.333333333333385,0.0,34.7373399999924
18,0.6,search,0,,,,,,,,,,3.3333333333333837,0.0,36.01031600010174
19,0.6333333333333333,search,0,,,,,,,,,,1.666666666666714,0.0,35.33015900029568
20,0.6666666666666666,search,0,,,,,,,,,,-7.0,-7.0,38.226823999139015
21,0.7,search,0,,,,,,,,,,-7.0,-7.0,38.733207000404946
22,0.7333333333333333,search,0,,,,,,,,,,-7.0,-7.0,39.3935150004836
23,0.7666666666666667,search,0,,,,,,,,,,-7.0,-7.0,43.029690999901504
24,0.8,search,0,,,,,,,,,,-7.0,-6.666666666666671,34.58123400014301
25,0.8333333333333334,search,0,,,,,,,,,,-7.0,-5.0,39.64009300034377
26,0.8666666666666667,search,0,,,,,,,,,,-7.0,-3.333333333333328,39.89115100011986
27,0.9,search,0,,,,,,,,,,-7.0,-1.9999999999999996,36.23942000012903
28,0.9333333333333333,search,0,,,,,,,,,,-7.0,-0.9999999999999998,38.27894399910292
29,0.9666666666666667,search,0,,,,,,,,,,-7.0,-0.3333333333333288,36.445776000618935
30,1.0,search,0,,,,,,,,,,-7.0,0.0,41.97036000005028
31,1.0333333333333334,search,0,,,,,,,,,,-7.0,0.0,36.11821499907819
32,1.0666666666666667,search,0,,,,,,,,,,-7.0,0.0,33.691950999127585
33,1.1,search,0,,,,,,,,,,-7.0,0.0,34.88997800013749
34,1.1333333333333333,search,0,,,,,,,,,,-7.0,0.0,38.51357700114022
35,1.1666666666666667,search,0,,,,,,,,,,-7.0,0.0,39.53321699918888
36,1.2,search,0,,,,,,,,,,-7.0,0.0,37.00228799971228
37,1.2333333333333334,search,0,,,,,,,,,,-7.0,0.0,38.58385000057751
38,1.2666666666666666,search,0,,,,,,,,,,-7.0,0.0,37.379628000053344
39,1.3,search,0,,,,,,,,,,-7.0,0.0,36.31997800039244
40,1.3333333333333333,search,0,,,,,,,,,,-7.0,0.0,39.135904000431765
41,1.3666666666666667,search,0,,,,,,,,,,-7.0,0.0,39.155585998742026
42,1.4,search,0,,,,,,,,,,-7.0,0.0,40.16198200042709
43,1.4333333333333333,search,0,,,,,,,,,,-7.0,0.0,38.89118200095254
44,1.4666666666666666,search,0,,,,,,,,,,-5.000000000000007,0.0,37.16346100009105
45,1.5,search,0,,,,,,,,,,-3.000000000000007,0.0,38.122384999951464
46,1.5333333333333334,search,0,,,,,,,,,,-7.0,7.0,40.41320099895529
47,1.5666666666666667,search,0,,,,,,,,,,-7.0,7.0,36.00000600090425
48,1.6,search,0,,,,,,,,,,-7.0,7.0,36.66658300062409
49,1.6333333333333333,search,0,,,,,,,,,,-7.0,7.0,39.094046000172966
50,1.6666666666666667,search,0,,,,,,,,,,-7.0,7.0,34.03522099870315
51,1.7,search,0,,,,,,,,,,-7.0,7.0,39.19664100067166
52,1.7333333333333334,search,0,,,,,,,,,,-7.0,7.0,39.53001599984418
