frame_index,timestamp_s,state,detection_count,selected_x_px,selected_y_px,estimate_x_px,estimate_y_px,truth_x_px,truth_y_px,centroid_error_px,tracking_error_px,pointing_offset_px,pan_rate_deg_s,tilt_rate_deg_s,processing_time_ms
0,0.0,search,0,,,,,,,,,,6.0,0.0,68.34652900033689
1,0.03333333333333333,search,0,,,,,,,,,,6.0,0.0,51.697003000299446
2,0.06666666666666667,search,0,,,,,,,,,,6.0,0.0,54.4679869999527
3,0.1,search,0,,,,,,,,,,6.0,0.0,40.03683700102556
4,0.13333333333333333,search,0,,,,,,,,,,6.0,0.0,34.97649699966132
5,0.16666666666666666,search,0,,,,,,,,,,6.0,0.0,39.238548999492195
6,0.2,search,0,,,,,,,,,,6.0,0.0,37.103041000591475
7,0.23333333333333334,search,0,,,,,,,,,,6.0,0.0,36.07976700004656
8,0.26666666666666666,search,0,,,,,,,,,,6.0,0.0,35.768157000347856
9,0.3,search,0,,,,,,,,,,6.0,0.0,35.69253100067726
10,0.3333333333333333,search,0,,,,,,,,,,6.0,0.0,35.64469099910639
11,0.36666666666666664,search,0,,,,,,,,,,6.0,0.0,35.06509500039101
12,0.4,search,0,,,,,,,,,,6.0,0.0,35.60210399882635
13,0.43333333333333335,search,0,,,,,,,,,,6.0,0.0,35.30118599883281
14,0.4666666666666667,search,0,,,,,,,,,,6.0,0.0,35.379917000682326
15,0.5,search,0,,,,,,,,,,6.0,0.0,37.01704900049663
16,0.5333333333333333,search,0,,,,,,,,,,6.0,0.0,36.02490100092837
17,0.5666666666666667,search,0,,,,,,,,,,6.0,0.0,36.77602399875468
18,0.6,search,0,,,,,,,,,,6.0,0.0,34.984632999112364
19,0.6333333333333333,search,0,,,,,,,,,,5.0,0.0,36.25344900137861
20,0.6666666666666666,search,0,,,,,,,,,,3.333333333333326,0.0,34.52778000064427
21,0.7,search,0,,,,,,,,,,1.9999999999999973,0.0,34.6093780008232
22,0.7333333333333333,search,0,,,,,,,,,,-6.0,-6.0,36.878212998999516
23,0.7666666666666667,search,0,,,,,,,,,,-6.0,-6.0,34.96897799959697
24,0.8,search,0,,,,,,,,,,-6.0,-6.0,35.39244000057806
25,0.8333333333333334,search,0,,,,,,,,,,-6.0,-6.0,34.41394299989042
26,0.8666666666666667,search,0,,,,,,,,,,-6.0,-6.0,34.77947399915138
27,0.9,search,0,,,,,,,,,,-6.0,-5.0,35.88008799852105
28,0.9333333333333333,search,0,,,,,,,,,,-6.0,-3.333333333333328,34.497089000069536
29,0.9666666666666667,search,0,,,,,,,,,,-6.0,-1.9999999999999996,36.02906199921563
30,1.0,search,0,,,,,,,,,,-6.0,-0.9999999999999998,37.11009099970397
31,1.0333333333333334,search,0,,,,,,,,,,-6.0,-0.3333333333333288,35.86463600004208
32,1.0666666666666667,search,0,,,,,,,,,,-6.0,0.0,34.90421499918739
33,1.1,search,0,,,,,,,,,,-6.0,0.0,34.424659999785945
34,1.1333333333333333,search,0,,,,,,,,,,-6.0,0.0,34.40521900120075
35,1.1666666666666667,search,0,,,,,,,,,,-6.0,0.0,36.09730700009095
36,1.2,search,0,,,,,,,,,,-6.0,0.0,35.76508700098202
37,1.2333333333333334,search,0,,,,,,,,,,-6.0,0.0,35.28367699982482
38,1.2666666666666666,search,0,,,,,,,,,,-6.0,0.0,33.894349999172846
39,1.3,search,0,,,,,,,,,,-6.0,0.0,35.173148000467336
40,1.3333333333333333,search,0,,,,,,,,,,-6.0,0.0,34.57092800090322
41,1.3666666666666667,search,0,,,,,,,,,,-6.0,0.0,34.9687059988355
42,1.4,search,0,,,,,,,,,,-6.0,0.0,35.959275999630336
43,1.4333333333333333,search,0,,,,,,,,,,-6.0,0.0,35.30013700037671
44,1.4666666666666666,search,0,,,,,,,,,,-6.0,0.0,36.01723099927767
45,1.5,search,0,,,,,,,,,,-6.0,0.0,35.07982399969478
46,1.5333333333333334,acquire,1,13.267366822725547,419.8901682905226,13.267366822725547,419.8901682905226,12.92461154662235,420.064523469455,0.3845528672590335,355.9754581513657,355.9754581513657,-6.0,-6.0,36.70252499978233
47,1.5666666666666667,acquire,1,41.714088830420344,410.2747603833866,39.40760093521906,411.05438701099,41.801680747995356,410.3204292549736,0.09878253821651485,326.1952689053579,326.1952689053579,-6.0,-6.0,36.49101500013785
