frame_index,timestamp_s,state,detection_count,selected_x_px,selected_y_px,estimate_x_px,estimate_y_px,truth_x_px,truth_y_px,centroid_error_px,tracking_error_px,pointing_offset_px,pan_rate_deg_s,tilt_rate_deg_s,processing_time_ms
0,0.0,acquire,2,497.8552559830354,266.4484701605574,497.8552559830354,266.4484701605574,478.97536342852345,155.7757090545218,112.2715921046083,179.90802473069309,179.90802473069309,7.0,-1.3234153256588912,58.32324999937555
1,0.03333333333333333,acquire,2,492.8404874499818,264.8602522129259,493.2470897613341,264.98902646924137,474.92816563013906,154.0597208516671,112.23907083950273,177.1679092996618,177.1679092996618,7.0,-1.3268086751248447,36.995897000451805
2,0.06666666666666667,track,2,480.87214860531253,256.6279421552611,485.42633809555554,259.74157445563196,464.8980746445398,145.78859666882994,111.98451476326844,172.83298456406703,172.83298456406703,7.0,-1.0963475589233156,37.373478000517935
3,0.1,track,2,466.68570729618983,256.8047825821051,471.4133865253584,256.4904248882095,451.6216410397391,144.93149310296545,112.88294375618538,162.36464329904288,162.36464329904288,7.0,-0.9540390332663347,36.234053997759474
4,0.13333333333333333,track,2,442.82240618768503,253.02127016738172,450.5604921861554,252.99688818901905,429.6707260069725,141.19692453948772,112.59507523281133,147.61340001284475,147.61340001284475,6.749785135123066,-0.7909963076412442,24.000237997825025
5,0.16666666666666666,track,2,416.78588723625046,249.63248011068833,424.9979936139528,249.7034335230086,404.5083015937132,137.7234474895199,112.58050759974203,132.67308028263676,132.67308028263676,5.531153577283369,-0.6242552248447257,26.99284999835072
6,0.2,track,2,388.34731572587606,247.73709649577077,397.2267827665609,247.1007382018655,376.88433085162103,135.7310793521996,112.59106491455421,118.77640720906649,118.77640720906649,4.203034767380419,-0.48332487471700436,23.515346001659054
7,0.23333333333333334,track,2,360.4379486555542,250.64113639128848,368.8387268486001,247.04366819846774,350.8487052318618,138.44980014137695,112.60039750808849,106.13239706050449,106.13239706050449,2.736491860214859,-0.4758350091698572,23.5772320011165
8,0.26666666666666666,track,2,344.83339431638007,248.75405537260642,345.3975795366175,246.38218965173007,336.0576294149934,136.39330647601574,112.70293670622391,104.84366650113904,104.84366650113904,1.4554182808271037,-0.4406569007835961,23.771722000674345
9,0.3,track,2,327.09510279124186,247.65518970416178,324.1092078741044,245.62966170686136,320.1129602724356,135.31341303312814,112.55854076771483,104.68664791077978,104.68664791077978,0.22281311553712763,-0.4009605836939336,22.60442300030263
10,0.3333333333333333,track,2,320.617491327369,247.05860872740553,308.0831917052898,244.98136070745005,314.44930005654396,134.61798208808617,112.60968476377286,105.5281003763889,105.5281003763889,-0.7050361536686643,-0.3735988380744847,23.603051999089075
11,0.36666666666666664,track,2,315.223440712817,247.60675119945168,300.73055325171424,245.332709946433,310.89109048639307,135.09874825407056,112.59138504007437,105.29598686744878,105.29598686744878,-1.169290255572129,-0.40679073307595603,25.766775997908553
12,0.4,track,2,316.66626345711865,246.98850852788195,301.86608361185364,245.90046760810046,314.0551461833983,134.55349054487598,112.4653333354594,105.61395572162952,105.61395572162952,-1.1812197118069183,-0.45295243632585214,22.88224000221817
13,0.43333333333333335,track,2,322.5301344036976,246.82436295079972,309.14584343664006,246.22066977802695,320.66764369995656,134.38530527914602,112.45448217706127,105.61680495588413,105.61680495588413,-0.863043213273285,-0.4905832059898515,23.716923999018036
14,0.4666666666666667,track,2,328.2301127704968,244.50448034135934,317.86518009265484,245.3618700124718,328.0616813977045,132.04177640445062,112.46283006366204,108.25880448658543,108.25880448658543,-0.4039869328268084,-0.46356144749561146,25.74579899737728
15,0.5,track,2,330.78859324807564,248.09758167161647,324.80497749240243,246.45354318510084,332.430507700949,135.65362101454468,112.45594769206146,105.08417734882651,105.08417734882651,0.009536707717179627,-0.5403736112925182,23.75752600346459
16,0.5333333333333333,track,2,327.94327232930016,247.10451754119293,327.96539669218345,246.76247356500747,330.2171488851133,134.61914379994036,112.50835444668255,105.87499697661492,105.87499697661492,0.2483929475756509,-0.5804262752338074,24.74115099903429
17,0.5666666666666667,track,2,325.41847530379056,243.85696148963183,328.90913345716206,245.69885353934578,329.2951844721357,131.34195621981056,112.58177154781248,109.05489870935922,109.05489870935922,0.33803146016328445,-0.533282485870505,23.91294100016239
18,0.6,track,2,322.0347510373444,244.50812586445366,326.22083603898864,244.64259324352616,327.63002571971043,131.9620514903243,112.68507423699991,108.30704321817107,108.30704321817107,0.22596439583392489,-0.4821912659313002,23.96864999900572
19,0.6333333333333333,track,2,323.5854570166497,244.31107713217804,324.61936851112597,243.9490704150899,329.751789886161,131.80602203418522,112.67391483240483,108.6325654398857,108.6325654398857,0.15709059301728173,-0.44765421975341424,23.97267299966188
20,0.6666666666666666,track,2,322.35236292587615,242.63249481011113,323.0244296836907,242.86127270383673,330.0512635997491,130.13982201836612,112.75581804686075,110.31902195953296,110.31902195953296,0.0802890283811676,-0.3889882182649237,24.414138999418356
21,0.7,track,2,317.8037104622871,244.1104622871046,320.06884084503724,242.87484922259503,327.0656946020716,131.6668100816678,112.82446220347278,108.56336434585647,108.56336434585647,-0.08364804777075693,-0.38740287648239513,24.731619996600784
22,0.7333333333333333,track,2,316.7179261862917,242.02284710017574,317.73957920049355,242.10446204163935,327.4707402807154,130.5159777044433,112.02412656828069,109.73861261359131,109.73861261359131,-0.2207937722234599,-0.34443622090581744,23.24088499881327
23,0.7666666666666667,track,2,318.5541868932039,240.9368932038835,316.94717318814565,241.2112985263829,330.77235900866384,129.4923717572418,112.11228786495252,111.03143527150853,111.03143527150853,-0.28669878952287337,-0.2916962647262187,23.61640500021167
24,0.8,track,2,320.90314811629105,244.1140547049716,317.3000774414275,241.7360422839129,334.59619939127947,132.6901827507477,112.26209910067932,108.29794972545838,108.29794972545838,-0.26934469202191197,-0.3270794886254075,23.666496999794617
25,0.8333333333333334,track,2,322.9037677277984,242.0739545924889,319.5794579299626,242.10882057602987,336.99573836675256,130.68015725881034,112.2816179118639,110.6331014642071,110.6331014642071,-0.11741916145020029,-0.3558048491687447,24.71368900296511
26,0.8666666666666667,track,2,319.7127802144249,241.14357943469787,320.1508998852409,241.8952591480704,335.1806129067233,129.7680899831262,112.44444627803583,111.27230110944923,111.27230110944923,-0.09950698116812563,-0.3517922458562714,24.63340599933872
27,0.9,track,2,322.7659432184327,243.70533163110218,321.7817226737824,242.8213788899285,339.5102040428728,132.40632951060314,112.55149107664334,109.34827840974653,109.34827840974653,0.014935726634990515,-0.4096968778176422,26.25934400202823
28,0.9333333333333333,track,2,318.9661193481191,243.33568190172772,321.1271926721039,243.27120950791817,337.02633430102924,132.08545540868818,112.70662917015093,109.24946221414837,109.24946221414837,0.0016236396411381249,-0.4459253371639489,25.09314400231233
29,0.9666666666666667,track,2,317.8892756809576,241.02717723219737,320.16181471037066,242.59057743800602,337.2424588970797,129.85756644758877,112.84160607948718,111.48389147165973,111.48389147165973,-0.04394282458083994,-0.4209740766500839,24.521106999600306
30,1.0,track,2,317.3693753790176,239.59205579138873,319.27447353348765,241.55990048651378,337.97226603506357,128.49823233252525,112.98812642970107,112.94089843544994,112.94089843544994,-0.07594322057871288,-0.3718282962839793,24.81255899692769
31,1.0333333333333334,track,2,317.90704032809293,238.78485987696513,318.8351915427185,240.55321333763308,339.6570206177388,128.81199490832103,112.10304488287377,112.9122266888464,112.9122266888464,-0.09699819318691319,-0.3177948228361422,25.636607002525125
32,1.0666666666666667,track,2,318.09591412742384,242.3512811634349,318.5812030254225,240.9980359759631,340.979266911831,132.48171362481432,112.22731265507137,109.54593349465003,109.54593349465003,-0.11063911311711705,-0.33744277676877055,24.027220999414567
33,1.1,track,2,314.6794887475538,241.60072162426616,317.3636256808873,241.10342947429842,338.76224095684825,131.82353456703834,112.38776513558699,109.79148126922955,109.79148126922955,-0.17810268996286582,-0.34119674105172554,25.308970998594305
34,1.1333333333333333,track,2,315.5053503415755,240.74928964391512,316.6865052759878,240.9457002977909,340.7100551921966,131.13840923310224,112.47142859873546,110.81404392207402,110.81404392207402,-0.2225729501682217,-0.33135404565374466,24.42345100280363
35,1.1666666666666667,track,2,317.25257201646093,240.43689986282578,316.63610135757966,240.7449365619402,343.53832555421457,131.01132921478327,112.53842166432436,111.50149384391469,111.50149384391469,-0.2363879358726036,-0.3184858031986694,25.792991000344045
36,1.2,track,2,315.2952328700317,240.24420872957816,316.1184153827898,240.54316138964217,343.65688388310167,131.98686915320442,111.91083424021762,110.5734352834601,110.5734352834601,-0.2753229395389444,-0.30468059381083135,24.150304998329375
37,1.2333333333333334,track,2,317.603802672148,239.88232271325796,316.25561529423845,240.30127455473644,346.9987299600557,131.82237733535578,111.98666681947715,111.49587196318147,111.49587196318147,-0.28120310651846114,-0.2721116318406223,23.720536999462638
38,1.2666666666666666,track,2,316.0504481589147,241.71366279069767,316.02839223759145,240.51605533841177,346.49596420609504,133.82791075211728,112.099352987915,109.42828087140474,109.42828087140474,-0.3056077477205661,-0.29349726341312676,21.42761600043741
39,1.3,track,2,316.38823458355984,241.46862354291235,315.9204518625002,240.6426102043708,347.912617793509,133.7442802879267,112.24224189887558,109.86078555889357,109.86078555889357,-0.32430478904160076,-0.2966302584968784,25.439236000238452
40,1.3333333333333333,track,2,318.4029661016949,240.80266343825667,316.2422949920573,240.615509688241,350.9406914379506,134.25146915175597,111.40853007708716,110.18202286770963,110.18202286770963,-0.32008578578151226,-0.2922905459782378,22.693147002428304
41,1.3666666666666667,track,2,316.8835847917924,242.51243210621607,316.22427127281014,240.92333964318922,351.4393965279852,136.06739273936537,111.91358510278185,108.58371197392917,108.58371197392917,-0.33216547222295956,-0.30589851454937345,24.939081002230523
42,1.4,track,2,317.90504542106555,243.7983672968328,316.4017964558297,241.42114076895365,353.51302407171994,137.55735893921062,112.04945336961624,107.78505225652309,107.78505225652309,-0.33349911449267555,-0.3312187497369769,24.572440001065843
43,1.4333333333333333,track,2,316.9995123735219,239.95324881141045,316.3964883650849,241.16405423487504,353.5681411025272,134.7763701341321,111.35277461929165,110.44832447451769,110.44832447451769,-0.34343737033918914,-0.3185928447850823,24.095858996588504
44,1.4666666666666666,track,2,321.3886198547215,243.59460394327223,317.14463837551875,241.56523774828466,358.96157348225967,138.565725057683,111.54726462025369,108.6596352896837,108.6596352896837,-0.3128411297103749,-0.34002215632760213,23.21063900308218
45,1.5,track,2,319.10850801479654,242.6632023956315,317.4177760778824,241.75831761136277,358.69221669132116,137.62909689431095,112.24541554580527,109.43897585029991,109.43897585029991,-0.30390729882442336,-0.3522125872474392,25.524655997287482
46,1.5333333333333334,track,2,321.0720928818917,239.45529147164305,317.9703843344214,241.41352700021972,361.61227826709325,135.48580594202812,111.59372989715558,112.49354853575117,112.49354853575117,-0.2785721557995459,-0.33661376531175835,25.002992002555402
47,1.5666666666666667,track,2,321.56416611255514,242.47403735719035,318.5311200213381,241.57888920627883,363.111829662793,138.5396811858802,111.93104457311439,110.23985735992456,110.23985735992456,-0.25010959895282525,-0.3466734812475666,24.148682001396082
48,1.6,track,2,320.61914708442123,242.15892080069625,318.88204932563764,241.67689233410715,364.13726490379935,139.19159124162005,111.78594515890038,110.04741446115294,110.04741446115294,-0.23015709599876902,-0.35386999484677806,23.97942300012801
